X,Min,Average,Max
1.694241771,2160.388769,2946.113816,3815.559988
1.702755549,2155.201762,2942.430069,3808.557074
1.711269327,2149.3898,2938.775946,3799.547723
1.719783104,2143.924186,2934.985003,3790.570371
1.728296882,2138.119086,2931.235921,3782.836107
1.73681066,2131.121576,2927.566584,3776.90257
1.745324437,2124.384396,2923.967803,3771.147902
1.753838215,2117.948292,2920.403717,3762.998015
1.762351993,2113.114714,2916.701991,3747.377574
1.770865771,2104.494557,2912.868107,3730.383404
1.779379548,2092.860212,2908.825495,3720.816979
1.787893326,2085.402066,2904.925794,3712.290306
1.796407104,2078.651589,2901.162097,3706.418435
1.804920882,2073.113682,2897.540126,3701.170408
1.813434659,2066.381907,2893.950703,3686.374478
1.821948437,2061.730318,2890.514287,3669.679681
1.830462215,2061.269682,2887.142793,3656.409393
1.838975993,2061.190953,2883.588027,3643.665352
1.84748977,2054.089034,2879.816221,3629.297349
1.856003548,2035.607775,2875.759693,3623.521695
1.864517326,2027.381907,2871.665233,3625.253895
1.873031104,2021.132384,2867.613119,3628.073325
1.881544881,2008.305668,2863.77916,3631.711616
1.890058659,1998.399577,2860.129971,3633.715563
1.898572437,1991.391683,2856.635451,3632.990649
1.907086215,1984.147604,2853.324488,3634.998543
1.915599992,1967.517206,2850.130752,3634.993138
1.92411377,1953.125522,2846.84396,3634.990649
1.932627548,1945.114714,2843.775028,3635.531045
1.941141326,1936.036411,2840.659278,3636.989617
1.949655103,1926.394173,2837.51697,3637.445881
1.958168881,1920.128437,2834.500874,3636.994596
1.966682659,1913.930197,2831.615702,3639.07041
1.975196437,1908.51923,2828.809721,3642.792834
1.983710214,1906.750051,2826.132345,3649.053165
1.992223992,1906.582172,2823.557781,3651.713074
2.00073777,1908.022648,2820.973101,3650.726371
2.009251548,1908.007893,2818.479029,3649.460636
2.017765325,1906.936026,2815.910882,3647.626877
2.026279103,1903.738211,2813.336664,3646.709733
2.034792881,1902.204251,2810.7259,3646.2358
2.043306659,1900.810078,2808.258562,3646.699776
2.051820436,1899.039893,2806.014615,3646.269682
2.060334214,1897.399577,2803.906826,3647.269682
2.068847992,1889.252077,2801.881957,3649.053772
2.077361769,1875.763814,2799.985411,3654.102991
2.085875547,1863.763814,2798.029896,3659.670266
2.094389325,1853.112225,2795.831692,3659.188464
2.102903103,1845.670291,2793.474995,3659.524609
2.11141688,1840.659483,2791.039279,3662.602913
2.119930658,1835.41081,2788.686898,3668.333049
2.128444436,1829.965536,2786.550875,3678.211655
2.136958214,1825.14465,2784.411751,3688.321816
2.145471991,1819.759828,2782.386883,3693.609774
2.153985769,1822.550842,2780.696265,3698.257842
2.162499547,1829.452419,2779.41692,3700.881946
2.171013325,1832.57286,2778.356884,3706.785973
2.179527102,1824.92959,2777.274056,3709.806132
2.18804088,1822.014755,2776.192855,3714.505443
2.196554658,1819.744041,2775.07643,3725.062516
2.205068436,1816.931048,2773.911598,3727.983788
2.213582213,1812.460636,2772.750347,3730.133958
2.222095991,1809.116597,2771.719915,3736.459604
2.230609769,1803.471018,2770.586822,3736.70518
2.239123547,1800.190953,2769.281863,3736.061059
2.247637324,1797.462093,2767.948507,3739.783058
2.256151102,1795.460636,2766.5263,3741.695404
2.26466488,1790.844,2764.939259,3739.362173
2.273178658,1781.057602,2763.227956,3736.187007
2.281692435,1770.842543,2761.462496,3734.264278
2.290206213,1759.498504,2759.656686,3734.450859
2.298719991,1747.114714,2757.655416,3732.170794
2.307233769,1740.213602,2755.581121,3728.101842
2.315747546,1736.662397,2753.288611,3722.917325
2.324261324,1731.933537,2750.913659,3719.190953
